Timestamp,MetricID,Value,Trend_Mean,Variance,Z_Score,PRB_Limit,ControlActions
1770029694.3973138,DRB.UEThpDl,0.0,24.15,9465.23,-0.25,100,1
1770029694.3976748,DRB.UEThpUl,0.0,10.85,718.03,-0.40,100,1
1770029695.3973281,DRB.UEThpDl,5.0,24.40,9454.34,-0.20,100,1
1770029695.3976684,DRB.UEThpUl,4.0,11.05,714.45,-0.26,100,1
1770029696.3971815,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029696.3974884,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029697.397399,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029697.3977957,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029698.397124,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029698.3974483,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029699.397199,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029699.3975239,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029700.3983135,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029700.3986607,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029701.3972125,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029701.3975399,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029702.3972285,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029702.397535,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029703.3973215,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029703.397663,DRB.UEThpUl,0.0,11.05,714.45,-0.41,100,1
1770029704.397481,DRB.UEThpDl,0.0,24.40,9454.34,-0.25,100,1
1770029704.397884,DRB.UEThpUl,0.0,10.30,719.21,-0.38,100,1
1770029705.397283,DRB.UEThpDl,0.0,2.05,55.05,-0.28,100,1
1770029705.397604,DRB.UEThpUl,0.0,5.55,343.25,-0.30,100,1
1770029706.3973482,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,1
1770029706.397737,DRB.UEThpUl,0.0,1.40,27.64,-0.27,100,1
1770029707.3975942,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,1
1770029707.3979423,DRB.UEThpUl,0.0,0.20,0.76,-0.23,100,1
1770029708.3971918,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,1
1770029708.397513,DRB.UEThpUl,0.0,0.20,0.76,-0.23,100,1
1770029709.3971894,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,1
1770029709.397484,DRB.UEThpUl,0.0,0.20,0.76,-0.23,100,1
1770029710.397295,DRB.UEThpDl,10.0,0.75,5.69,3.88,80,2
1770029710.3975666,DRB.UEThpUl,93.0,4.85,409.73,4.35,80,2
1770029711.3976045,DRB.UEThpDl,469.0,24.20,10418.66,4.36,64,3
1770029711.3980362,DRB.UEThpUl,103.0,10.00,863.70,3.16,64,3
1770029712.397562,DRB.UEThpDl,3.0,24.35,10411.83,-0.21,69,3
1770029712.3979023,DRB.UEThpUl,23.0,11.15,865.83,0.40,69,3
1770029713.397113,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,74,3
1770029713.3974113,DRB.UEThpUl,0.0,11.15,865.83,-0.38,74,3
1770029714.3972075,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,79,3
1770029714.397531,DRB.UEThpUl,1.0,11.20,864.76,-0.35,79,3
1770029715.3972442,DRB.UEThpDl,0.0,24.10,10422.69,-0.24,84,3
1770029715.3975847,DRB.UEThpUl,0.0,11.00,868.40,-0.37,84,3
1770029716.3977947,DRB.UEThpDl,0.0,24.10,10422.69,-0.24,89,3
1770029716.3981926,DRB.UEThpUl,0.0,11.00,868.40,-0.37,89,3
1770029717.3972895,DRB.UEThpDl,0.0,24.10,10422.69,-0.24,94,3
1770029717.3976674,DRB.UEThpUl,0.0,11.00,868.40,-0.37,94,3
1770029718.3974404,DRB.UEThpDl,0.0,24.10,10422.69,-0.24,99,3
1770029718.3978422,DRB.UEThpUl,0.0,11.00,868.40,-0.37,99,3
1770029719.3970857,DRB.UEThpDl,0.0,24.10,10422.69,-0.24,100,3
1770029719.3973866,DRB.UEThpUl,0.0,11.00,868.40,-0.37,100,3
1770029720.3973308,DRB.UEThpDl,5.0,24.35,10411.83,-0.19,100,3
1770029720.3976893,DRB.UEThpUl,4.0,11.20,864.76,-0.24,100,3
1770029721.3971415,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029721.3974335,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029722.397248,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029722.3975947,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029723.3973045,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029723.3976557,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029724.3973632,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029724.397704,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029725.39721,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029725.3975236,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029726.3971462,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029726.3974302,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029727.3972452,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029727.3975537,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029728.397179,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029728.397509,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029729.3973017,DRB.UEThpDl,0.0,24.35,10411.83,-0.24,100,3
1770029729.3976464,DRB.UEThpUl,0.0,11.20,864.76,-0.38,100,3
1770029730.3977818,DRB.UEThpDl,0.0,23.85,10430.93,-0.23,100,3
1770029730.3982136,DRB.UEThpUl,0.0,6.55,514.85,-0.29,100,3
1770029731.397168,DRB.UEThpDl,0.0,0.40,1.54,-0.32,100,3
1770029731.3974576,DRB.UEThpUl,0.0,1.40,25.34,-0.28,100,3
1770029732.3971615,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,3
1770029732.3974495,DRB.UEThpUl,0.0,0.25,0.79,-0.28,100,3
1770029733.3971455,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,3
1770029733.3974497,DRB.UEThpUl,0.0,0.25,0.79,-0.28,100,3
1770029734.3972054,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,3
1770029734.3975315,DRB.UEThpUl,0.0,0.20,0.76,-0.23,100,3
1770029735.397373,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,3
1770029735.3977656,DRB.UEThpUl,15.0,0.95,11.15,4.21,100,3
1770029736.3973608,DRB.UEThpDl,446.0,22.55,9438.55,4.36,80,4
1770029736.3977194,DRB.UEThpUl,95.0,5.70,430.81,4.30,80,4
1770029737.3971255,DRB.UEThpDl,102.0,27.65,9702.73,0.75,85,4
1770029737.3974292,DRB.UEThpUl,115.0,11.45,993.45,3.29,85,4
1770029738.3971057,DRB.UEThpDl,3.0,27.80,9694.86,-0.25,90,4
1770029738.3973713,DRB.UEThpUl,24.0,12.65,993.33,0.36,90,4
1770029739.3971567,DRB.UEThpDl,0.0,27.80,9694.86,-0.28,95,4
1770029739.3974717,DRB.UEThpUl,0.0,12.65,993.33,-0.40,95,4
1770029740.3971844,DRB.UEThpDl,0.0,27.55,9707.45,-0.28,100,4
1770029740.3974884,DRB.UEThpUl,0.0,12.45,997.55,-0.39,100,4
1770029741.3972578,DRB.UEThpDl,0.0,27.55,9707.45,-0.28,100,4
1770029741.3975685,DRB.UEThpUl,0.0,12.45,997.55,-0.39,100,4
1770029742.3969743,DRB.UEThpDl,0.0,27.55,9707.45,-0.28,100,4
1770029742.3972876,DRB.UEThpUl,0.0,12.45,997.55,-0.39,100,4
1770029743.3974345,DRB.UEThpDl,2.0,27.65,9702.13,-0.26,100,4
1770029743.397812,DRB.UEThpUl,2.0,12.55,995.25,-0.33,100,4
1770029744.397363,DRB.UEThpDl,0.0,27.65,9702.13,-0.28,100,4
1770029744.3977487,DRB.UEThpUl,0.0,12.55,995.25,-0.40,100,4
1770029745.3971186,DRB.UEThpDl,0.0,27.65,9702.13,-0.28,100,4
1770029745.3974352,DRB.UEThpUl,0.0,12.55,995.25,-0.40,100,4
1770029746.3970544,DRB.UEThpDl,5.0,27.90,9689.49,-0.23,100,4
1770029746.3973343,DRB.UEThpUl,4.0,12.75,990.99,-0.28,100,4
1770029747.3972845,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029747.3976188,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029748.3973753,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029748.3977191,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029749.397046,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029749.397359,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029750.3970845,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029750.3973556,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029751.3972766,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029751.3975956,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029752.3970666,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029752.3973446,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029753.3972013,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029753.3975337,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029754.3976688,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029754.3981187,DRB.UEThpUl,0.0,12.75,990.99,-0.41,100,4
1770029755.3974094,DRB.UEThpDl,0.0,27.90,9689.49,-0.28,100,4
1770029755.3978198,DRB.UEThpUl,0.0,12.00,998.30,-0.38,100,4
1770029756.3969958,DRB.UEThpDl,0.0,5.60,490.74,-0.25,100,4
1770029756.3972476,DRB.UEThpUl,0.0,7.25,638.49,-0.29,100,4
1770029757.397127,DRB.UEThpDl,0.0,0.50,1.65,-0.39,100,4
1770029757.397428,DRB.UEThpUl,0.0,1.50,27.55,-0.29,100,4
1770029758.3972566,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,4
1770029758.3977542,DRB.UEThpUl,0.0,0.30,0.91,-0.31,100,4
1770029759.3972027,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,4
1770029759.3975205,DRB.UEThpUl,0.0,0.30,0.91,-0.31,100,4
1770029760.3969574,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,4
1770029760.3972158,DRB.UEThpUl,0.0,0.30,0.91,-0.31,100,4
1770029761.3972359,DRB.UEThpDl,10.0,0.85,5.73,3.82,80,5
1770029761.3975391,DRB.UEThpUl,93.0,4.95,408.95,4.35,80,5
1770029762.397151,DRB.UEThpDl,457.0,23.70,9887.21,4.36,64,6
1770029762.3974462,DRB.UEThpUl,101.0,10.00,843.50,3.13,64,6
1770029763.3972666,DRB.UEThpDl,13.0,24.25,9869.09,-0.11,69,6
1770029763.3976638,DRB.UEThpUl,25.0,11.15,850.23,0.47,69,6
1770029764.3971264,DRB.UEThpDl,2.0,24.35,9864.43,-0.23,74,6
1770029764.397444,DRB.UEThpUl,1.0,11.20,849.16,-0.35,74,6
1770029765.397158,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,79,6
1770029765.397446,DRB.UEThpUl,0.0,11.20,849.16,-0.38,79,6
1770029766.397075,DRB.UEThpDl,0.0,24.10,9875.29,-0.24,84,6
1770029766.3974094,DRB.UEThpUl,0.0,11.00,852.80,-0.38,84,6
1770029767.3972278,DRB.UEThpDl,0.0,24.10,9875.29,-0.24,89,6
1770029767.3975155,DRB.UEThpUl,0.0,11.00,852.80,-0.38,89,6
